Number of model parameters: 65960814
Epoch: [0][1620/6000]	Time 1.034 (1.044)	Loss 1.4917 (2.4337)
Epoch: [0][1630/6000]	Time 1.035 (1.044)	Loss 1.4032 (2.4334)
Epoch: [0][1640/6000]	Time 1.031 (1.044)	Loss 2.7479 (2.4336)
Epoch: [0][1650/6000]	Time 1.039 (1.044)	Loss 2.7621 (2.4317)
Epoch: [0][1660/6000]	Time 1.032 (1.044)	Loss 1.7622 (2.4304)
Epoch: [0][1670/6000]	Time 1.034 (1.044)	Loss 1.4659 (2.4276)
Epoch: [0][1680/6000]	Time 1.034 (1.044)	Loss 2.9201 (2.4284)
Epoch: [0][1690/6000]	Time 1.033 (1.043)	Loss 2.5194 (2.4276)
Epoch: [0][1700/6000]	Time 1.035 (1.043)	Loss 3.0386 (2.4256)
Epoch: [0][1710/6000]	Time 1.037 (1.043)	Loss 2.6015 (2.4237)
Epoch: [0][1720/6000]	Time 1.042 (1.043)	Loss 2.3012 (2.4215)
Epoch: [0][1730/6000]	Time 1.041 (1.043)	Loss 2.0700 (2.4228)
Epoch: [0][1740/6000]	Time 1.042 (1.043)	Loss 1.9585 (2.4204)
Epoch: [0][1750/6000]	Time 1.043 (1.043)	Loss 2.8848 (2.4199)
Epoch: [0][1760/6000]	Time 1.040 (1.043)	Loss 2.4984 (2.4186)
Epoch: [0][1770/6000]	Time 1.040 (1.043)	Loss 1.7972 (2.4193)
Epoch: [0][1780/6000]	Time 1.041 (1.043)	Loss 3.1582 (2.4192)
Epoch: [0][1790/6000]	Time 1.039 (1.043)	Loss 1.7380 (2.4221)
Epoch: [0][1800/6000]	Time 1.043 (1.043)	Loss 2.3879 (2.4226)
Epoch: [0][1810/6000]	Time 1.040 (1.043)	Loss 2.9104 (2.4236)
Epoch: [0][1820/6000]	Time 1.044 (1.043)	Loss 1.9505 (2.4244)
Epoch: [0][1830/6000]	Time 1.037 (1.043)	Loss 1.9466 (2.4247)
Epoch: [0][1840/6000]	Time 1.044 (1.043)	Loss 1.5286 (2.4238)
Epoch: [0][1850/6000]	Time 1.040 (1.043)	Loss 2.5091 (2.4224)
Epoch: [0][1860/6000]	Time 1.036 (1.043)	Loss 3.1845 (2.4237)
Epoch: [0][1870/6000]	Time 1.038 (1.043)	Loss 1.7193 (2.4214)
Epoch: [0][1880/6000]	Time 1.033 (1.043)	Loss 3.3510 (2.4217)
Epoch: [0][1890/6000]	Time 1.036 (1.043)	Loss 2.7044 (2.4214)
Epoch: [0][1900/6000]	Time 1.034 (1.043)	Loss 2.3435 (2.4202)
Epoch: [0][1910/6000]	Time 1.036 (1.043)	Loss 2.4078 (2.4214)
Epoch: [0][1920/6000]	Time 1.033 (1.043)	Loss 3.1061 (2.4211)
Epoch: [0][1930/6000]	Time 1.033 (1.043)	Loss 3.0388 (2.4197)
Epoch: [0][1940/6000]	Time 1.033 (1.043)	Loss 2.4986 (2.4198)
Epoch: [0][1950/6000]	Time 1.035 (1.043)	Loss 3.4577 (2.4212)
Epoch: [0][1960/6000]	Time 1.031 (1.043)	Loss 2.7679 (2.4212)
Epoch: [0][1970/6000]	Time 1.045 (1.043)	Loss 1.5471 (2.4190)
Epoch: [0][1980/6000]	Time 1.036 (1.043)	Loss 2.8819 (2.4180)
Epoch: [0][1990/6000]	Time 1.043 (1.043)	Loss 3.1589 (2.4174)
Epoch: [0][2000/6000]	Time 1.039 (1.043)	Loss 1.9929 (2.4158)
Epoch: [0][2010/6000]	Time 1.035 (1.043)	Loss 1.8084 (2.4166)
Epoch: [0][2020/6000]	Time 1.038 (1.043)	Loss 1.6928 (2.4170)
Epoch: [0][2030/6000]	Time 1.043 (1.043)	Loss 2.6341 (2.4193)
Epoch: [0][2040/6000]	Time 1.036 (1.043)	Loss 2.4809 (2.4178)
Epoch: [0][2050/6000]	Time 1.037 (1.043)	Loss 3.1927 (2.4174)
Epoch: [0][2060/6000]	Time 1.037 (1.042)	Loss 3.2819 (2.4169)
Epoch: [0][2070/6000]	Time 1.037 (1.042)	Loss 1.8070 (2.4159)
Epoch: [0][2080/6000]	Time 1.033 (1.042)	Loss 3.3296 (2.4153)
Epoch: [0][2090/6000]	Time 1.038 (1.042)	Loss 1.3387 (2.4152)
Epoch: [0][2100/6000]	Time 1.038 (1.042)	Loss 2.3489 (2.4154)
Epoch: [0][2110/6000]	Time 1.038 (1.042)	Loss 2.9514 (2.4159)
Epoch: [0][2120/6000]	Time 1.034 (1.042)	Loss 3.4214 (2.4142)
Epoch: [0][2130/6000]	Time 1.036 (1.042)	Loss 1.6872 (2.4147)
Epoch: [0][2140/6000]	Time 1.039 (1.042)	Loss 2.2190 (2.4136)
Epoch: [0][2150/6000]	Time 1.037 (1.042)	Loss 2.2675 (2.4125)
Epoch: [0][2160/6000]	Time 1.037 (1.042)	Loss 2.2370 (2.4138)
Epoch: [0][2170/6000]	Time 1.045 (1.042)	Loss 2.8830 (2.4131)
Epoch: [0][2180/6000]	Time 1.039 (1.042)	Loss 2.1484 (2.4116)
Epoch: [0][2190/6000]	Time 1.043 (1.042)	Loss 3.0109 (2.4106)
Epoch: [0][2200/6000]	Time 1.039 (1.042)	Loss 2.9659 (2.4123)
Epoch: [0][2210/6000]	Time 1.041 (1.042)	Loss 1.3028 (2.4104)
Epoch: [0][2220/6000]	Time 1.046 (1.042)	Loss 2.3528 (2.4083)
Epoch: [0][2230/6000]	Time 1.035 (1.042)	Loss 2.3030 (2.4062)
Epoch: [0][2240/6000]	Time 1.041 (1.042)	Loss 1.8801 (2.4067)
Epoch: [0][2250/6000]	Time 1.034 (1.042)	Loss 1.8116 (2.4070)
Epoch: [0][2260/6000]	Time 1.037 (1.042)	Loss 2.9609 (2.4055)
Epoch: [0][2270/6000]	Time 1.039 (1.042)	Loss 1.0287 (2.4044)
Epoch: [0][2280/6000]	Time 1.032 (1.042)	Loss 3.0658 (2.4038)
Epoch: [0][2290/6000]	Time 1.035 (1.042)	Loss 1.0445 (2.4036)
Epoch: [0][2300/6000]	Time 1.038 (1.042)	Loss 0.6143 (2.4012)
Epoch: [0][2310/6000]	Time 1.038 (1.042)	Loss 3.3252 (2.4008)
Epoch: [0][2320/6000]	Time 1.033 (1.042)	Loss 2.1557 (2.4001)
Epoch: [0][2330/6000]	Time 1.035 (1.042)	Loss 1.1088 (2.3976)
Epoch: [0][2340/6000]	Time 1.031 (1.042)	Loss 1.8673 (2.3945)
Epoch: [0][2350/6000]	Time 1.043 (1.042)	Loss 1.9728 (2.3934)
Epoch: [0][2360/6000]	Time 1.035 (1.042)	Loss 2.3068 (2.3937)
Epoch: [0][2370/6000]	Time 1.036 (1.042)	Loss 2.3281 (2.3928)
Epoch: [0][2380/6000]	Time 1.036 (1.042)	Loss 1.2800 (2.3918)
Epoch: [0][2390/6000]	Time 1.033 (1.042)	Loss 2.0455 (2.3915)
Epoch: [0][2400/6000]	Time 1.039 (1.042)	Loss 1.9339 (2.3923)
Epoch: [0][2410/6000]	Time 1.035 (1.042)	Loss 0.6622 (2.3916)
Epoch: [0][2420/6000]	Time 1.038 (1.042)	Loss 1.8335 (2.3899)
Epoch: [0][2430/6000]	Time 1.040 (1.042)	Loss 2.4139 (2.3901)
Epoch: [0][2440/6000]	Time 1.037 (1.042)	Loss 3.0043 (2.3911)
Epoch: [0][2450/6000]	Time 1.037 (1.042)	Loss 3.0121 (2.3906)
Epoch: [0][2460/6000]	Time 1.038 (1.042)	Loss 1.1087 (2.3886)
Epoch: [0][2470/6000]	Time 1.044 (1.042)	Loss 1.5924 (2.3871)
Epoch: [0][2480/6000]	Time 1.037 (1.042)	Loss 1.2014 (2.3887)
Epoch: [0][2490/6000]	Time 1.041 (1.042)	Loss 1.6335 (2.3865)
Epoch: [0][2500/6000]	Time 1.034 (1.042)	Loss 1.8088 (2.3850)
Epoch: [0][2510/6000]	Time 1.035 (1.042)	Loss 2.0777 (2.3826)
Epoch: [0][2520/6000]	Time 1.037 (1.041)	Loss 3.5315 (2.3825)
Epoch: [0][2530/6000]	Time 1.037 (1.041)	Loss 2.2947 (2.3821)
Epoch: [0][2540/6000]	Time 1.036 (1.041)	Loss 1.4149 (2.3810)
Epoch: [0][2550/6000]	Time 1.030 (1.041)	Loss 1.5747 (2.3811)
Epoch: [0][2560/6000]	Time 1.028 (1.041)	Loss 2.7514 (2.3812)
Epoch: [0][2570/6000]	Time 1.033 (1.041)	Loss 2.1388 (2.3805)
Epoch: [0][2580/6000]	Time 1.038 (1.041)	Loss 2.1340 (2.3797)
Epoch: [0][2590/6000]	Time 1.037 (1.041)	Loss 3.5410 (2.3793)
Epoch: [0][2600/6000]	Time 1.037 (1.041)	Loss 3.6004 (2.3800)
Epoch: [0][2610/6000]	Time 1.033 (1.041)	Loss 1.4974 (2.3801)
Epoch: [0][2620/6000]	Time 1.036 (1.041)	Loss 2.7608 (2.3799)
Epoch: [0][2630/6000]	Time 1.034 (1.041)	Loss 3.4472 (2.3808)
Epoch: [0][2640/6000]	Time 1.035 (1.041)	Loss 2.7912 (2.3794)
Epoch: [0][2650/6000]	Time 1.034 (1.041)	Loss 2.5989 (2.3803)
Epoch: [0][2660/6000]	Time 1.041 (1.041)	Loss 2.8844 (2.3785)
Epoch: [0][2670/6000]	Time 1.038 (1.041)	Loss 2.6957 (2.3794)
Epoch: [0][2680/6000]	Time 1.032 (1.041)	Loss 2.1486 (2.3784)
Epoch: [0][2690/6000]	Time 1.035 (1.041)	Loss 1.4734 (2.3779)
Epoch: [0][2700/6000]	Time 1.040 (1.041)	Loss 0.5099 (2.3767)
Epoch: [0][2710/6000]	Time 1.038 (1.041)	Loss 1.0679 (2.3753)
Epoch: [0][2720/6000]	Time 1.034 (1.041)	Loss 2.2318 (2.3752)
Epoch: [0][2730/6000]	Time 1.042 (1.041)	Loss 2.0589 (2.3743)
Epoch: [0][2740/6000]	Time 1.039 (1.041)	Loss 1.4423 (2.3739)
Epoch: [0][2750/6000]	Time 1.036 (1.041)	Loss 4.0026 (2.3735)
Epoch: [0][2760/6000]	Time 1.033 (1.041)	Loss 1.9728 (2.3729)
Epoch: [0][2770/6000]	Time 1.032 (1.041)	Loss 2.4254 (2.3733)
Epoch: [0][2780/6000]	Time 1.033 (1.041)	Loss 3.0004 (2.3718)
Epoch: [0][2790/6000]	Time 1.037 (1.041)	Loss 2.7898 (2.3722)
